email,label
"Relatório semanal: Por favor, revise os documentos anexados.",1
Convite para o seminário sobre gestão financeira.,1
Reunião de equipe: Discussão sobre estratégias de crescimento.,1
Atualização do projeto: Novo cronograma e metas revisadas.,1
Lembrete de pagamento: Sua fatura vence amanhã.,1
Aviso de segurança: Atualize suas credenciais imediatamente.,1
Agenda de treinamento: Detalhes da sessão online de amanhã.,1
Informativo interno: Alterações no plano de benefícios.,1
Notificação: Sua inscrição no curso foi confirmada.,1
Relatório financeiro mensal disponível para análise.,1
Importante: Documentação pendente para aprovação do contrato.,1
Nova política de reembolso: Consulte os detalhes anexados.,1
Agenda da semana: Pautas e horários de reuniões.,1
Atualização do sistema: Interrupção programada no servidor.,1
Convite: Participe do workshop de liderança e gestão.,1
Plano de carreira: Reunião com o gestor agendada.,1
Informativo: Resultados do último trimestre publicados.,1
Renovação de assinatura: Sua renovação foi processada.,1
Confirmação: Inscrição no webinar foi realizada com sucesso.,1
Alerta de phishing: Não compartilhe informações pessoais.,1
Relatório de desempenho trimestral está disponível.,1
Novo horário para a reunião de planejamento estratégico.,1
Seu cadastro foi atualizado com sucesso. Obrigado.,1
Confirmação de entrega: Pedido #12345 foi entregue.,1
Lembrete: Submissão do relatório anual até sexta-feira.,1
Atualização: Nova versão do software disponível.,1
Notificação de promoção interna: Parabéns ao novo gerente.,1
"Solicitação de aprovação: Por favor, revise o documento anexo.",1
Novo projeto atribuído: Consulte os detalhes no sistema.,1
Aviso: Atualização obrigatória no sistema financeiro.,1
Relatório de vendas: Resultados do mês de janeiro disponíveis.,1
Convite para a feira de inovação tecnológica.,1
Comunicado interno: Alteração na política de férias.,1
Informativo: Atualização dos processos de compliance.,1
Promoção imperdível! Invista em nosso novo fundo de ações agora.,0
Spam: Você ganhou um prêmio financeiro! Clique aqui para resgatar.,0
Parabéns! Você foi selecionado para uma oferta especial.,0
Receba R$ 10.000 agora mesmo! Oferta válida por 24 horas.,0
Oferta exclusiva: Aproveite descontos de 50% em nossos produtos.,0
Encontre solteiros na sua região! Clique aqui para saber mais.,0
Última chance: Ganhe um prêmio participando de nossa pesquisa.,0
Você recebeu um presente especial! Abra agora.,0
Feliz Natal e próspero Ano Novo! Obrigado por mais um ano incrível!,0
Boas festas! Aproveite o desconto especial em nossos serviços.,0
Mensagem de fim de ano: Agradecemos a parceria e desejamos sucesso!,0
Promoção de Natal: Produtos com até 90% de desconto!,0
Boas festas! Conte conosco para alcançar seus objetivos no próximo ano.,0
Ofertas de Ano Novo: Grandes descontos disponíveis por tempo limitado!,0
Mensagem da diretoria: Desejamos a todos um ótimo final de ano!,0
Estamos prontos para o próximo ano! Obrigado por fazer parte da nossa jornada.,0
Spam: Ganhe um iPhone grátis! Clique aqui para participar.,0
Promoção relâmpago: Descontos de 70% em seguros de vida.,0
Você foi pré-aprovado para um empréstimo com juros baixos!,0
Spam: Conheça singles na sua área! Clique aqui para começar.,0
